coefficient_name,value,constrain
pnr_transit_ASC_auto_sufficient_discretionary,-3.476263259548196,F
pnr_transit_ASC_no_auto_discretionary,0.0,T
schoolbus_ASC_not_school,-999.0,T
sr2_ASC_auto_deficient_discretionary,-1.3875634193464792,F
sr2_ASC_auto_sufficient_discretionary,-1.6750874372073783,F
sr2_ASC_no_auto_discretionary,1.506088811542747,F
sr3p_ASC_auto_deficient_discretionary,-1.8161760411521364,F
sr3p_ASC_auto_sufficient_discretionary,-1.739766410492813,F
sr3p_ASC_no_auto_discretionary,0.8797832212240203,F
taxi_ASC_auto_deficient_discretionary,-1.8317433654081297,F
taxi_ASC_auto_sufficient_discretionary,-2.6733666148732134,F
taxi_ASC_no_auto_discretionary,3.365620989373714,F
tnc_shared_ASC_auto_deficient_discretionary,-2.091743365408129,F
tnc_shared_ASC_auto_sufficient_discretionary,-4.243366614873213,F
tnc_shared_ASC_no_auto_discretionary,1.7756209893737132,F
tnc_single_ASC_auto_deficient_discretionary,-0.9117433654081298,F
tnc_single_ASC_auto_sufficient_discretionary,-2.5933666148732124,F
tnc_single_ASC_no_auto_discretionary,3.6956209893737135,F
walk_ASC_auto_deficient_discretionary,1.2449873627958876,F
walk_ASC_auto_sufficient_discretionary,-0.027473048862666848,F
walk_ASC_no_auto_discretionary,5.8660942125536595,F
walk_transit_ASC_auto_deficient_discretionary,-0.38734509232394854,F
walk_transit_ASC_auto_sufficient_discretionary,-2.2589024839180323,F
walk_transit_ASC_no_auto_discretionary,4.9175830940967575,F
bike_ASC_auto_deficient_maintenance,-2.9319194360914307,F
bike_ASC_auto_sufficient_maintenance,-3.7015173027305415,F
bike_ASC_no_auto_maintenance,2.2713472510841455,F
joint_bike_ASC_auto_deficient_maintenance,-999.0,T
joint_bike_ASC_auto_sufficient_maintenance,-5.545632357207598,F
joint_bike_ASC_no_auto_maintenance,-999.0,T
joint_knr_transit_ASC_auto_deficient_maintenance,-999.0,T
joint_knr_transit_ASC_auto_sufficient_maintenance,-999.0,T
joint_knr_transit_ASC_no_auto_maintenance,-999.0,T
joint_pnr_transit_ASC_auto_deficient_maintenance,-999.0,T
joint_pnr_transit_ASC_auto_sufficient_maintenance,-999.0,T
joint_pnr_transit_ASC_no_auto_maintenance,-999.0,T
joint_sr2_ASC_auto_deficient_maintenance,26.52277232446902,F
joint_sr2_ASC_auto_sufficient_maintenance,1.6961636708091679,F
joint_sr2_ASC_no_auto_maintenance,-6.182193345821077,F
joint_sr3p_ASC_auto_deficient_maintenance,-87.87005803752426,F
joint_sr3p_ASC_auto_sufficient_maintenance,0.29356078409923947,F
joint_sr3p_ASC_no_auto_maintenance,-4.287595459683638,F
joint_taxi_ASC_auto_deficient_maintenance,-999.0,T
joint_taxi_ASC_auto_sufficient_maintenance,-999.0,T
joint_taxi_ASC_no_auto_maintenance,-999.0,T
joint_tnc_shared_ASC_auto_deficient_maintenance,-999.0,T
joint_tnc_shared_ASC_auto_sufficient_maintenance,-999.0,T
joint_tnc_shared_ASC_no_auto_maintenance,-999.0,T
joint_tnc_single_ASC_auto_deficient_maintenance,-999.0,T
joint_tnc_single_ASC_auto_sufficient_maintenance,-999.0,T
joint_tnc_single_ASC_no_auto_maintenance,-999.0,T
joint_walk_ASC_auto_deficient_maintenance,-999.0,T
joint_walk_ASC_auto_sufficient_maintenance,-999.0,T
joint_walk_ASC_no_auto_maintenance,-999.0,T
joint_walk_transit_ASC_auto_deficient_maintenance,-999.0,T
joint_walk_transit_ASC_auto_sufficient_maintenance,0.2523277270279298,F
joint_walk_transit_ASC_no_auto_maintenance,-0.9469032616676699,F
knr_transit_ASC_auto_deficient_maintenance,-999.0,T
knr_transit_ASC_auto_sufficient_maintenance,-999.0,T
knr_transit_ASC_no_auto_maintenance,0.0,T
pnr_transit_ASC_auto_deficient_maintenance,-999.0,T
pnr_transit_ASC_auto_sufficient_maintenance,-999.0,T
pnr_transit_ASC_no_auto_maintenance,-999.0,T
sr2_ASC_auto_deficient_maintenance,-0.715164268799535,F
sr2_ASC_auto_sufficient_maintenance,-1.481319555354102,F
sr2_ASC_no_auto_maintenance,2.557636068222945,F
sr3p_ASC_auto_deficient_maintenance,-1.1501720617832702,F
sr3p_ASC_auto_sufficient_maintenance,-1.5917661204369227,F
sr3p_ASC_no_auto_maintenance,3.0043800978248205,F
taxi_ASC_auto_deficient_maintenance,-3.126007325144097,F
taxi_ASC_auto_sufficient_maintenance,-3.6513785382638932,F
taxi_ASC_no_auto_maintenance,4.792482047227403,F
tnc_shared_ASC_auto_deficient_maintenance,-4.036007325144099,F
tnc_shared_ASC_auto_sufficient_maintenance,-999.0,T
tnc_shared_ASC_no_auto_maintenance,1.3224820472274015,F
tnc_single_ASC_auto_deficient_maintenance,-3.6760073251440986,F
tnc_single_ASC_auto_sufficient_maintenance,-5.411378538263892,F
tnc_single_ASC_no_auto_maintenance,3.8024820472274015,F
walk_ASC_auto_deficient_maintenance,0.8557840592441063,F
walk_ASC_auto_sufficient_maintenance,-0.00302143007801563,F
walk_ASC_no_auto_maintenance,6.597476134046551,F
walk_transit_ASC_auto_deficient_maintenance,-1.177045228087396,F
walk_transit_ASC_auto_sufficient_maintenance,-1.7089589179627556,F
walk_transit_ASC_no_auto_maintenance,6.573545099079689,F
bike_ASC_auto_deficient_school,-0.831924156354708,F
bike_ASC_auto_sufficient_school,-2.0389729562589576,F
bike_ASC_no_auto_school,-6.61,F
joint_bike_ASC_auto_deficient_school,0.0,T
joint_bike_ASC_auto_sufficient_school,0.0,T
joint_bike_ASC_no_auto_school,0.0,T
joint_knr_transit_ASC_auto_deficient_school,0.0,T
joint_knr_transit_ASC_auto_sufficient_school,0.0,T
joint_knr_transit_ASC_no_auto_school,0.0,T
joint_pnr_transit_ASC_auto_deficient_school,0.0,T
joint_pnr_transit_ASC_auto_sufficient_school,0.0,T
joint_pnr_transit_ASC_no_auto_school,0.0,T
joint_sr2_ASC_auto_deficient_school,0.0,T
joint_sr2_ASC_auto_sufficient_school,0.0,T
joint_sr2_ASC_no_auto_school,0.0,T
joint_sr3p_ASC_auto_deficient_school,0.0,T
joint_sr3p_ASC_auto_sufficient_school,0.0,T
joint_sr3p_ASC_no_auto_school,0.0,T
joint_taxi_ASC_auto_deficient_school,0.0,T
joint_taxi_ASC_auto_sufficient_school,0.0,T
joint_taxi_ASC_no_auto_school,0.0,T
joint_tnc_shared_ASC_auto_deficient_school,0.0,T
joint_tnc_shared_ASC_auto_sufficient_school,0.0,T
joint_tnc_shared_ASC_no_auto_school,0.0,T
joint_tnc_single_ASC_auto_deficient_school,0.0,T
joint_tnc_single_ASC_auto_sufficient_school,0.0,T
joint_tnc_single_ASC_no_auto_school,0.0,T
joint_walk_ASC_auto_deficient_school,0.0,T
joint_walk_ASC_auto_sufficient_school,0.0,T
joint_walk_ASC_no_auto_school,0.0,T
joint_walk_transit_ASC_auto_deficient_school,0.0,T
joint_walk_transit_ASC_auto_sufficient_school,0.0,T
joint_walk_transit_ASC_no_auto_school,0.0,T
joint_bike_ASC_auto_deficient_univ,0.0,T
joint_bike_ASC_auto_sufficient_univ,0.0,T
joint_bike_ASC_no_auto_univ,0.0,T
joint_knr_transit_ASC_auto_deficient_univ,0.0,T
joint_knr_transit_ASC_auto_sufficient_univ,0.0,T
joint_knr_transit_ASC_no_auto_univ,0.0,T
joint_pnr_transit_ASC_auto_deficient_univ,0.0,T
joint_pnr_transit_ASC_auto_sufficient_univ,0.0,T
joint_pnr_transit_ASC_no_auto_univ,0.0,T
joint_sr2_ASC_auto_deficient_univ,0.0,T
joint_sr2_ASC_auto_sufficient_univ,0.0,T
joint_sr2_ASC_no_auto_univ,0.0,T
joint_sr3p_ASC_auto_deficient_univ,0.0,T
joint_sr3p_ASC_auto_sufficient_univ,0.0,T
joint_sr3p_ASC_no_auto_univ,0.0,T
joint_taxi_ASC_auto_deficient_univ,0.0,T
joint_taxi_ASC_auto_sufficient_univ,0.0,T
joint_taxi_ASC_no_auto_univ,0.0,T
joint_tnc_shared_ASC_auto_deficient_univ,0.0,T
joint_tnc_shared_ASC_auto_sufficient_univ,0.0,T
joint_tnc_shared_ASC_no_auto_univ,0.0,T
joint_tnc_single_ASC_auto_deficient_univ,0.0,T
joint_tnc_single_ASC_auto_sufficient_univ,0.0,T
joint_tnc_single_ASC_no_auto_univ,0.0,T
joint_walk_ASC_auto_deficient_univ,0.0,T
joint_walk_ASC_auto_sufficient_univ,0.0,T
joint_walk_ASC_no_auto_univ,0.0,T
joint_walk_transit_ASC_auto_deficient_univ,0.0,T
joint_walk_transit_ASC_auto_sufficient_univ,0.0,T
joint_walk_transit_ASC_no_auto_univ,0.0,T
joint_bike_ASC_auto_deficient_work,0.0,T
joint_bike_ASC_auto_sufficient_work,0.0,T
joint_bike_ASC_no_auto_work,0.0,T
joint_knr_transit_ASC_auto_deficient_work,0.0,T
joint_knr_transit_ASC_auto_sufficient_work,0.0,T
joint_knr_transit_ASC_no_auto_work,0.0,T
joint_pnr_transit_ASC_auto_deficient_work,0.0,T
joint_pnr_transit_ASC_auto_sufficient_work,0.0,T
joint_pnr_transit_ASC_no_auto_work,0.0,T
joint_sr2_ASC_auto_deficient_work,0.0,T
joint_sr2_ASC_auto_sufficient_work,0.0,T
joint_sr2_ASC_no_auto_work,0.0,T
joint_sr3p_ASC_auto_deficient_work,0.0,T
joint_sr3p_ASC_auto_sufficient_work,0.0,T
joint_sr3p_ASC_no_auto_work,0.0,T
joint_taxi_ASC_auto_deficient_work,0.0,T
joint_taxi_ASC_auto_sufficient_work,0.0,T
joint_taxi_ASC_no_auto_work,0.0,T
joint_tnc_shared_ASC_auto_deficient_work,0.0,T
joint_tnc_shared_ASC_auto_sufficient_work,0.0,T
joint_tnc_shared_ASC_no_auto_work,0.0,T
joint_tnc_single_ASC_auto_deficient_work,0.0,T
joint_tnc_single_ASC_auto_sufficient_work,0.0,T
joint_tnc_single_ASC_no_auto_work,0.0,T
joint_walk_ASC_auto_deficient_work,0.0,T
joint_walk_ASC_auto_sufficient_work,0.0,T
joint_walk_ASC_no_auto_work,0.0,T
joint_walk_transit_ASC_auto_deficient_work,0.0,T
joint_walk_transit_ASC_auto_sufficient_work,0.0,T
joint_walk_transit_ASC_no_auto_work,0.0,T
joint_bike_ASC_auto_deficient_atwork,0.0,T
joint_bike_ASC_auto_sufficient_atwork,0.0,T
joint_bike_ASC_no_auto_atwork,0.0,T
joint_knr_transit_ASC_auto_deficient_atwork,0.0,T
joint_knr_transit_ASC_auto_sufficient_atwork,0.0,T
joint_knr_transit_ASC_no_auto_atwork,0.0,T
joint_pnr_transit_ASC_auto_deficient_atwork,0.0,T
joint_pnr_transit_ASC_auto_sufficient_atwork,0.0,T
joint_pnr_transit_ASC_no_auto_atwork,0.0,T
joint_sr2_ASC_auto_deficient_atwork,0.0,T
joint_sr2_ASC_auto_sufficient_atwork,0.0,T
joint_sr2_ASC_no_auto_atwork,0.0,T
joint_sr3p_ASC_auto_deficient_atwork,0.0,T
joint_sr3p_ASC_auto_sufficient_atwork,0.0,T
joint_sr3p_ASC_no_auto_atwork,0.0,T
joint_taxi_ASC_auto_deficient_atwork,0.0,T
joint_taxi_ASC_auto_sufficient_atwork,0.0,T
joint_taxi_ASC_no_auto_atwork,0.0,T
joint_tnc_shared_ASC_auto_deficient_atwork,0.0,T
joint_tnc_shared_ASC_auto_sufficient_atwork,0.0,T
joint_tnc_shared_ASC_no_auto_atwork,0.0,T
joint_tnc_single_ASC_auto_deficient_atwork,0.0,T
joint_tnc_single_ASC_auto_sufficient_atwork,0.0,T
joint_tnc_single_ASC_no_auto_atwork,0.0,T
joint_walk_ASC_auto_deficient_atwork,0.0,T
joint_walk_ASC_auto_sufficient_atwork,0.0,T
joint_walk_ASC_no_auto_atwork,0.0,T
joint_walk_transit_ASC_auto_deficient_atwork,0.0,T
joint_walk_transit_ASC_auto_sufficient_atwork,0.0,T
joint_walk_transit_ASC_no_auto_atwork,0.0,T
knr_transit_ASC_auto_deficient_school,-999.0,T
knr_transit_ASC_auto_sufficient_school,-999.0,T
knr_transit_ASC_no_auto_school,7.793425511284307,F
pnr_transit_ASC_auto_deficient_school,-999.0,T
pnr_transit_ASC_auto_sufficient_school,-999.0,T
pnr_transit_ASC_no_auto_school,0.0,T
schoolbus_ASC_auto_deficient_school,0.9708380187786075,F
schoolbus_ASC_auto_sufficient_school,1.6510029286584897,F
schoolbus_ASC_no_auto_school,6.74854533966822,F
sr2_ASC_auto_deficient_school,0.5851311228155531,F
sr2_ASC_auto_sufficient_school,0.693229430197553,F
sr2_ASC_no_auto_school,-999.0,T
sr3p_ASC_auto_deficient_school,0.7968210751335353,F
sr3p_ASC_auto_sufficient_school,1.1396410997161568,F
sr3p_ASC_no_auto_school,4.0119752840182885,F
taxi_ASC_auto_deficient_school,-999.0,T
taxi_ASC_auto_sufficient_school,-999.0,T
taxi_ASC_no_auto_school_univ,0.0,T
tnc_shared_ASC_auto_deficient_school,-999.0,T
tnc_shared_ASC_auto_sufficient_school,-999.0,T
tnc_shared_ASC_no_auto_school,0.0,T
tnc_single_ASC_auto_deficient_school,-999.0,T
tnc_single_ASC_auto_sufficient_school,-999.0,T
tnc_single_ASC_no_auto_school,0.0,T
walk_ASC_auto_deficient_school,1.2916271676122195,F
walk_ASC_auto_sufficient_school,1.0828382627445179,F
walk_ASC_no_auto_school,7.148572491611694,F
walk_transit_ASC_auto_deficient_school,-0.41337877166060066,F
walk_transit_ASC_auto_sufficient_school,-0.41612393739591846,F
walk_transit_ASC_no_auto_school,8.025848067524464,F
bike_ASC_auto_deficient_univ,-3.099207475659055,F
