coefficient_name,value,constrain
coef_auxwalk_discretionary,-0.0798,T
coef_bike_time_discretionary,-0.097783099,T
coef_drivetime_discretionary,0.0,T
coef_ASC_s2_da_discretionary,-0.7009121069501191,F
coef_ASC_s3_da_discretionary,-0.8630357201180626,F
coef_ASC_s3_s2_discretionary,-1.46186091295341,F
coef_ASC_walk_da_discretionary,-3.1348397796206893,F
coef_ASC_walk_s2_discretionary,-4.307951045672887,F
coef_ASC_walk_s3_discretionary,-5.765918830093253,F
coef_ASC_bike_walk_discretionary,-0.41741325171714083,F
coef_ASC_walktrn_s2_discretionary,-4.5854908023449665,F
coef_ASC_walktrn_s3_discretionary,-5.3324109950324,F
coef_ASC_walktrn_walk_discretionary,0.7067931000808013,F
coef_ASC_walktrn_bike_discretionary,2.0,T
coef_ASC_walktrn_taxi_discretionary,-5.499028425060665,F
coef_ASC_walktrn_tnc_single_discretionary,-2.721871553693892,F
coef_ASC_walktrn_tnc_shared_discretionary,-12.398775198,F
coef_ASC_wlktrn_mr_discretionary,1.5367830577338437,F
coef_ASC_wlktrn_bm_discretionary,0.3249165993429954,F
coef_ASC_wlktrn_cr_discretionary,2.876108331285316,F
coef_ASC_pnr_mr_discretionary,5.01187024917663,F
coef_ASC_pnr_bm_discretionary,1.4994729943517486,F
coef_ASC_pnr_cr_discretionary,6.403169001496557,F
coef_ASC_knr_mr_discretionary,1.4515597371442748,F
coef_ASC_knr_bm_discretionary,-2.067002784142358,F
coef_ASC_knr_cr_discretionary,5.265868841163986,F
coef_ASC_rh_s2_discretionary,-3.778464597342413,F
coef_ASC_rh_s3_discretionary,-3.442660952116414,F
coef_ASC_rh_walk_discretionary,0.713109372458512,F
coef_ASC_taxi_discretionary,0.0,T
coef_ASC_tnc_single_discretionary,0.0,T
coef_ASC_tnc_shared_discretionary,0.0,T
coef_ASC_nostop_s2_da_discretionary,0.0,T
coef_ASC_nostop_s3_da_discretionary,0.0,T
coef_ASC_nostop_s3_s2_discretionary,0.0,T
coef_ASC_obstops_first_s2_da_discretionary,0.0,T
coef_ASC_obstops_first_s3_da_discretionary,0.0,T
coef_ASC_obstops_first_s3_s2_discretionary,0.0,T
coef_ASC_ibstops_last_s2_da_discretionary,0.0,T
coef_ASC_ibstops_last_s3_da_discretionary,0.0,T
coef_ASC_ibstops_last_s3_s2_discretionary,0.0,T
coef_ASC_schbus_da_discretionary,0.0,T
coef_ASC_schbus_s2_discretionary,0.0,T
coef_ASC_schbus_s3_discretionary,0.0,T
coef_ASC_schbus_walk_discretionary,0.0,T
coef_ASC_joint_sr2_discretionary,0.0,T
coef_ASC_joint_sr3_discretionary,0.0,T
coef_ASC_joint_walk_discretionary,0.0,T
coef_ASC_joint_bike_discretionary,0.0,T
coef_ASC_joint_walktrn_discretionary,0.0,T
coef_ASC_joint_pnrtrn_discretionary,0.0,T
coef_ASC_joint_knrtrn_discretionary,0.0,T
coef_ASC_joint_rh_discretionary,0.0,T
# At-Work,,
coef_ivt_atwork,-0.0361,T
coef_cost_atwork,-0.000434,T
coef_iwait_atwork,-0.1,T
coef_xwait_atwork,-0.1,T
coef_xfers_drv_atwork,0.0,T
